QUERY_KEY,P@10,R@10,MRR@10,nDCG@10
1,0.7,0.4666666666666667,1.0,0.710022634839788
2,0.5,0.7142857142857143,1.0,0.8429598340522698
3,0.1,0.06666666666666667,1.0,0.2483795313844281
4,0.5,0.38461538461538464,1.0,0.5861163849908826
5,0.5,0.38461538461538464,1.0,0.5509662124799075
6,0.5,0.35714285714285715,0.5,0.48581363574225106
7,0.3,0.2727272727272727,1.0,0.4000232483092519
8,0.2,0.15384615384615385,0.2,0.10406605930420358
9,0.3,0.21428571428571427,0.3333333333333333,0.23327970054772557
10,0.5,0.5,1.0,0.6157460035676953
11,0.4,0.2857142857142857,0.5,0.33540983910130207
12,0.6,0.42857142857142855,1.0,0.6511310340726171
13,0.8,0.5714285714285714,1.0,0.866947989864271
14,0.5,0.5,1.0,0.40724159361022444
15,0.7,0.5833333333333334,1.0,0.7726428285761663
16,0.3,0.25,0.2,0.26831662190157546
17,0.2,0.16666666666666666,1.0,0.6016856485016553
18,0.5,0.38461538461538464,0.3333333333333333,0.3424962390071339
19,0.0,0.0,0.0,0.0
20,0.3,0.23076923076923078,1.0,0.6496240535917042
21,0.4,0.36363636363636365,1.0,0.44573625297964553
22,0.4,0.3333333333333333,1.0,0.581593894593351
23,0.2,0.16666666666666666,0.3333333333333333,0.2035505091246326
24,0.1,0.06666666666666667,0.16666666666666666,0.03980065925050623
25,0.4,0.2857142857142857,0.5,0.3529461582433961
26,0.3,0.2,1.0,0.4562824165636744
27,0.5,0.45454545454545453,1.0,0.6055047656192207
28,0.7,0.6363636363636364,1.0,0.8051228638230589
29,0.2,0.13333333333333333,1.0,0.4227946968594848
30,0.2,0.15384615384615385,1.0,0.37256929707664216
31,0.3,0.23076923076923078,1.0,0.3647534306258361
32,0.7,0.5384615384615384,1.0,0.8822018612008219
33,0.5,0.4166666666666667,1.0,0.5402588304300622
34,0.4,0.36363636363636365,1.0,0.6374984484939394
35,0.4,0.36363636363636365,0.5,0.3764459522792426
36,0.8,0.8,1.0,0.8591956496066234
37,0.5,0.3333333333333333,0.5,0.511842687748808
38,0.4,0.26666666666666666,1.0,0.5822295419501294
39,0.5,0.38461538461538464,1.0,0.6452764510216974
40,0.4,0.3333333333333333,1.0,0.5288783454088907
41,0.1,0.06666666666666667,0.3333333333333333,0.11419750324432956
42,0.1,0.06666666666666667,1.0,0.3159643654927256
43,0.7,0.4666666666666667,1.0,0.8493505883427014
44,0.6,0.6,1.0,0.73335702047441
45,0.5,0.35714285714285715,1.0,0.5582604437617527
46,0.5,0.35714285714285715,1.0,0.6183390727083861
47,0.7,0.6363636363636364,1.0,0.875460356259114
48,0.6,0.5,1.0,0.7425457018099125
49,0.1,0.06666666666666667,1.0,0.2483795313844281
50,0.4,0.36363636363636365,1.0,0.5522165297360299
51,0.7,0.6363636363636364,1.0,0.8096755779067366
52,0.6,0.46153846153846156,1.0,0.6180396628416763
53,0.6,0.5,1.0,0.654963125476342
54,0.6,0.6,1.0,0.7706969017829306
55,0.4,0.36363636363636365,1.0,0.6785435947541786
56,0.5,0.45454545454545453,0.5,0.48771709054014845
57,0.3,0.23076923076923078,1.0,0.6336945144162897
58,0.7,0.5833333333333334,1.0,0.8617137534933865
59,0.6,0.5,1.0,0.7787619443933579
60,0.2,0.16666666666666666,0.3333333333333333,0.22125449316311271
61,0.5,0.38461538461538464,1.0,0.7497336310130168
62,0.3,0.25,1.0,0.7977836060941673
63,0.6,0.4,1.0,0.6949115362468804
64,0.7,0.5384615384615384,1.0,0.8468756791656306
65,0.2,0.14285714285714285,1.0,0.39549461427576665
66,0.5,0.5,1.0,0.6172051251447558
67,0.3,0.3,1.0,0.4225749983705863
68,0.1,0.16666666666666666,0.125,0.03390394307668312
69,0.9,0.75,1.0,0.944347857741548
70,0.4,0.3076923076923077,0.5,0.3798333602726911
71,0.4,0.26666666666666666,1.0,0.49501809884010745
72,0.6,0.5,1.0,0.7272107218815859
73,0.7,0.5384615384615384,0.5,0.6481301399682152
74,0.3,0.3,1.0,0.38529267694150077
75,0.6,0.5,1.0,0.8784747716658196
76,0.6,0.5,1.0,0.6640868451226369
77,0.1,0.07142857142857142,1.0,0.44249022173078895
78,0.6,0.46153846153846156,1.0,0.8315355118676189
79,0.4,0.3076923076923077,1.0,0.7797706688093928
80,0.5,0.35714285714285715,1.0,0.6403555436783599
81,0.4,0.2857142857142857,0.5,0.33713158371736074
82,0.2,0.2222222222222222,1.0,0.6314210971541425
83,0.7,0.5,1.0,0.7399989878195519
84,0.6,0.5,1.0,0.7993651902471054
85,0.6,0.46153846153846156,1.0,0.7425382218009317
86,0.6,0.46153846153846156,1.0,0.6970911510972501
87,0.5,0.4166666666666667,1.0,0.8489243166312653
88,0.7,0.5384615384615384,1.0,0.8235288912340752
89,0.6,0.5,1.0,0.5349550724084434
90,0.4,0.26666666666666666,1.0,0.7814292237635242
91,0.1,0.08333333333333333,1.0,0.6639124204207466
92,0.5,0.45454545454545453,1.0,0.7523505075054608
93,0.7,0.5833333333333334,1.0,0.8934789222253208
94,0.6,0.42857142857142855,0.5,0.5857994143013198
95,0.9,0.8181818181818182,1.0,0.924046236817982
