QUERY_KEY,P@10,R@10,MRR@10,nDCG@10
1,0.6,0.4,1.0,0.7125523635307983
2,0.5,0.7142857142857143,1.0,0.9382912607185371
3,0.1,0.06666666666666667,0.25,0.1069712416725278
4,0.6,0.46153846153846156,1.0,0.7222954974312066
5,0.3,0.23076923076923078,0.3333333333333333,0.2710884709729799
6,0.5,0.35714285714285715,1.0,0.6177639991612474
7,0.6,0.5454545454545454,0.5,0.5363559634917963
8,0.3,0.23076923076923078,0.5,0.20639030210775877
9,0.1,0.07142857142857142,0.1,0.06872085805045479
10,0.3,0.3,0.3333333333333333,0.27460335524323926
11,0.5,0.35714285714285715,1.0,0.4802282438050902
12,0.4,0.2857142857142857,1.0,0.376710820503524
13,0.6,0.42857142857142855,1.0,0.6620158551732015
14,0.4,0.4,1.0,0.5287912648660551
15,0.7,0.5833333333333334,1.0,0.7284120827678233
16,0.4,0.3333333333333333,0.3333333333333333,0.37398806084853725
17,0.1,0.08333333333333333,0.14285714285714285,0.12297395543535145
18,0.4,0.3076923076923077,1.0,0.5277459020281853
19,0.0,0.0,0.0,0.0
20,0.5,0.38461538461538464,1.0,0.8325862623506884
21,0.3,0.2727272727272727,0.3333333333333333,0.2225745578904844
22,0.3,0.25,1.0,0.3974151406557496
23,0.1,0.08333333333333333,0.16666666666666666,0.08468295452481824
24,0.1,0.06666666666666667,0.2,0.043224834641459715
25,0.3,0.21428571428571427,0.3333333333333333,0.2496640287027892
26,0.2,0.13333333333333333,0.125,0.1697363428073418
27,0.6,0.5454545454545454,1.0,0.6457545768494584
28,0.2,0.18181818181818182,0.1111111111111111,0.10040932427631338
29,0.1,0.06666666666666667,0.1,0.07493583052745276
30,0.2,0.15384615384615385,0.2,0.1845608931853218
31,0.1,0.07692307692307693,0.125,0.07835501826428563
32,0.8,0.6153846153846154,1.0,0.9508675185936848
33,0.5,0.4166666666666667,0.3333333333333333,0.42346825804504173
34,0.2,0.18181818181818182,0.5,0.09470076054718696
35,0.4,0.36363636363636365,0.14285714285714285,0.27267015568947806
36,0.5,0.5,1.0,0.5595285289559183
37,0.6,0.4,0.5,0.6019689293840254
38,0.4,0.26666666666666666,0.3333333333333333,0.34971735625100225
39,0.4,0.3076923076923077,1.0,0.542889512458399
40,0.2,0.16666666666666666,0.1111111111111111,0.14758091965678602
41,0.1,0.06666666666666667,0.16666666666666666,0.08135594281084374
42,0.1,0.06666666666666667,0.14285714285714285,0.015045922166320268
43,0.7,0.4666666666666667,1.0,0.5690235444920246
44,0.5,0.5,0.2,0.3768579138648532
45,0.5,0.35714285714285715,1.0,0.6489315753318466
46,0.5,0.35714285714285715,1.0,0.6564049071231626
47,0.8,0.7272727272727273,1.0,0.5248792636840128
48,0.7,0.5833333333333334,1.0,0.751891761925518
49,0.1,0.06666666666666667,0.1,0.07179778610055808
50,0.4,0.36363636363636365,1.0,0.48996941542634953
51,0.6,0.5454545454545454,1.0,0.7102153724373809
52,0.3,0.23076923076923078,0.3333333333333333,0.24573132854020638
53,0.6,0.5,1.0,0.7656961520057538
54,0.7,0.7,0.3333333333333333,0.5179922050842706
55,0.4,0.36363636363636365,0.25,0.36201984283901545
56,0.6,0.5454545454545454,0.5,0.648267991512714
57,0.4,0.3076923076923077,1.0,0.6596302489832611
58,0.7,0.5833333333333334,1.0,0.8358120337445434
59,0.7,0.5833333333333334,1.0,0.8718047451387716
60,0.1,0.08333333333333333,1.0,0.23773510919962873
61,0.3,0.23076923076923078,1.0,0.17609991120320126
62,0.3,0.25,0.5,0.5549633948612137
63,0.6,0.4,0.2,0.392647141831769
64,0.8,0.6153846153846154,1.0,0.9141659472747728
65,0.2,0.14285714285714285,0.1111111111111111,0.14309587736368515
66,0.7,0.7,1.0,0.8142176899813816
67,0.3,0.3,1.0,0.4225749983705863
68,0.1,0.16666666666666666,0.1,0.031066651593069906
69,0.7,0.5833333333333334,0.3333333333333333,0.5284698980692797
70,0.5,0.38461538461538464,1.0,0.6611897589990688
71,0.4,0.26666666666666666,0.16666666666666666,0.2712809606906263
72,0.6,0.5,1.0,0.6777874802909191
73,0.5,0.38461538461538464,1.0,0.6443583149567113
74,0.4,0.4,1.0,0.4883571346044513
75,0.6,0.5,0.25,0.48171463285951477
76,1.0,0.8333333333333334,1.0,1.0
77,0.1,0.07142857142857142,0.5,0.27918024655438617
78,0.5,0.38461538461538464,1.0,0.4870038090750518
79,0.3,0.23076923076923078,0.3333333333333333,0.40776875528794265
80,0.6,0.42857142857142855,1.0,0.5917421353127383
81,0.3,0.21428571428571427,0.25,0.17875268385495108
